3.5,3.5,3.5,3.5,3.5,,,,,,
4.6,4.6,4.6,3.5,4.6,,,,,,
5,5,5,5.3,5,,,,,,
5.7,5.7,5.7,4.6,5.7,,,,,,
4.7,4.7,4.7,5.3,4.7,,,,,,
4.6,,4.6,5.6,4.6,,,,,,
5.6,,5.6,4.1,5.6,,,,,,
5.1,,5.1,,5.1,,,,,,
3.5,,3.5,,3.5,,,,,,
5.8,,5.8,,5.8,,,,,,
4.5,,,,4.5,,,,,,
4.5,,,,4.5,,,,,,
3.4,,,,3.4,,,,,,
5.4,,,,5.4,,,,,,
4.1,,,,4.1,,,,,,
5.4,,,,5.4,,,,,,
5.3,,,,5.3,,,,,,
4.8,,,,4.8,,,,,,
4.6,,,,4.6,,,,,,
5.3,,,,5.3,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3.1,,,,3.1,,,,,,
4.5,,,,4.5,,,,,,
4.3,,,,4.3,,,,,,
4.4,,,,4.4,,,,,,
4.6,,,,4.6,,,,,,
4.2,,,,4.2,,,,,,
5.3,,,,5.3,,,,,,
,,,,,,,,,,
3.9,,,,,,,,,,
4.3,,,,,,,,,,
4.7,,,,,,,,,,
5.7,,,,,,,,,,
5.3,,,,,,,,,,
5.1,,,,,,,,,,
5,,,,,,,,,,
4.2,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
5.6,,,,,,,,,,
4.3,,,,,,,,,,
4.8,,,,,,,,,,
6.3,,,,,,,,,,
5.6,,,,,,,,,,
4.7,,,,,,,,,,
5.3,,,,,,,,,,
4.1,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
4.79,4.70,4.81,4.56,4.66,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.72,0.80,0.82,0.88,0.72,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
0.513818181818182,,,,,,,,,,
